euclDist=4.892;onlinePos=-23.90,-09.65;estimatedPos=-19.09,-10.38
euclDist=1.971;onlinePos=-23.00,-10.55;estimatedPos=-21.06,-10.19
euclDist=0.701;onlinePos=-19.65,-10.70;estimatedPos=-19.38,-10.38
euclDist=1.523;onlinePos=-17.35,-11.20;estimatedPos=-17.31,-10.47
euclDist=2.052;onlinePos=-15.50,-09.60;estimatedPos=-16.66,-10.56
euclDist=1.231;onlinePos=-12.90,-10.50;estimatedPos=-14.13,-10.38
euclDist=1.320;onlinePos=-10.55,-09.90;estimatedPos=-11.69,-10.56
euclDist=1.595;onlinePos=-09.20,-10.75;estimatedPos=-10.75,-10.38
euclDist=3.848;onlinePos=-06.35,-10.20;estimatedPos=-10.19,-10.38
euclDist=2.076;onlinePos=-04.10,-09.90;estimatedPos=-06.16,-10.19
euclDist=5.805;onlinePos=-02.05,-11.10;estimatedPos=-07.75,-10.00
euclDist=8.300;onlinePos=-00.95,-09.95;estimatedPos=-09.25,-10.19
euclDist=10.789;onlinePos=00.85,-18.55;estimatedPos=-06.16,-10.38
euclDist=8.449;onlinePos=01.15,-15.15;estimatedPos=-05.97,-10.38
euclDist=6.874;onlinePos=00.75,-13.05;estimatedPos=-05.50,-10.19
euclDist=2.084;onlinePos=01.55,-11.95;estimatedPos=00.03,-12.91
euclDist=6.045;onlinePos=01.20,-09.05;estimatedPos=-04.66,-10.28
euclDist=7.073;onlinePos=01.65,-06.30;estimatedPos=-04.38,-10.00
euclDist=9.477;onlinePos=01.20,-03.70;estimatedPos=-05.88,-10.00
euclDist=10.681;onlinePos=01.85,-02.25;estimatedPos=-05.50,-10.00
euclDist=4.983;onlinePos=01.71,01.81;estimatedPos=01.63,06.13
euclDist=2.031;onlinePos=02.02,07.45;estimatedPos=01.25,08.09
euclDist=2.926;onlinePos=02.49,07.60;estimatedPos=01.25,10.25
euclDist=0.968;onlinePos=01.52,09.32;estimatedPos=01.25,10.25
euclDist=1.501;onlinePos=00.78,10.94;estimatedPos=01.44,10.25
euclDist=0.534;onlinePos=01.39,06.61;estimatedPos=01.63,07.06
euclDist=2.968;onlinePos=04.51,07.63;estimatedPos=07.44,08.09
euclDist=3.112;onlinePos=06.00,07.88;estimatedPos=08.75,07.06
euclDist=2.953;onlinePos=09.08,07.24;estimatedPos=08.38,04.81
euclDist=2.691;onlinePos=10.62,03.87;estimatedPos=11.09,06.50
euclDist=2.619;onlinePos=10.99,07.19;estimatedPos=09.22,05.56
euclDist=4.349;onlinePos=11.76,07.76;estimatedPos=08.56,04.81
euclDist=1.599;onlinePos=11.39,05.00;estimatedPos=11.38,05.19
euclDist=3.912;onlinePos=12.95,05.25;estimatedPos=09.13,05.00
euclDist=2.630;onlinePos=13.46,07.85;estimatedPos=11.94,05.56
euclDist=4.310;onlinePos=14.98,07.55;estimatedPos=11.38,05.28
euclDist=4.840;onlinePos=21.45,06.62;estimatedPos=17.75,03.88
euclDist=4.144;onlinePos=21.84,05.16;estimatedPos=17.94,04.16
euclDist=3.324;onlinePos=22.38,03.94;estimatedPos=19.06,03.88
euclDist=7.657;onlinePos=22.30,06.36;estimatedPos=15.03,03.97
euclDist=7.765;onlinePos=28.12,07.57;estimatedPos=20.38,06.88
euclDist=4.191;onlinePos=31.78,07.62;estimatedPos=28.25,05.19
euclDist=5.603;onlinePos=32.16,07.08;estimatedPos=27.41,04.44
euclDist=3.794;onlinePos=32.68,03.48;estimatedPos=29.09,04.63
euclDist=5.795;onlinePos=23.50,04.22;estimatedPos=17.75,03.69
euclDist=5.728;onlinePos=25.23,07.78;estimatedPos=20.75,04.25
