euclDist=4.298;onlinePos=-23.90,-09.65;estimatedPos=-19.75,-10.75
euclDist=2.508;onlinePos=-23.00,-10.55;estimatedPos=-20.50,-10.75
euclDist=0.851;onlinePos=-19.65,-10.70;estimatedPos=-19.00,-10.75
euclDist=1.423;onlinePos=-17.35,-11.20;estimatedPos=-17.50,-10.75
euclDist=1.916;onlinePos=-15.50,-09.60;estimatedPos=-16.75,-10.75
euclDist=0.846;onlinePos=-12.90,-10.50;estimatedPos=-13.00,-10.75
euclDist=1.275;onlinePos=-10.55,-09.90;estimatedPos=-11.50,-10.75
euclDist=1.550;onlinePos=-09.20,-10.75;estimatedPos=-10.75,-10.75
euclDist=3.691;onlinePos=-06.35,-10.20;estimatedPos=-10.00,-10.75
euclDist=1.787;onlinePos=-04.10,-09.90;estimatedPos=-05.80,-10.45
euclDist=6.223;onlinePos=-02.05,-11.10;estimatedPos=-08.20,-10.15
euclDist=8.016;onlinePos=-00.95,-09.95;estimatedPos=-08.95,-10.45
euclDist=10.764;onlinePos=00.85,-18.55;estimatedPos=-06.40,-10.75
euclDist=8.307;onlinePos=01.15,-15.15;estimatedPos=-06.10,-10.75
euclDist=6.890;onlinePos=00.75,-13.05;estimatedPos=-05.50,-10.15
euclDist=2.007;onlinePos=01.55,-11.95;estimatedPos=-00.40,-12.55
euclDist=6.732;onlinePos=01.20,-09.05;estimatedPos=-05.35,-10.30
euclDist=6.421;onlinePos=01.65,-06.30;estimatedPos=-03.70,-09.85
euclDist=9.318;onlinePos=01.20,-03.70;estimatedPos=-05.80,-09.85
euclDist=10.477;onlinePos=01.85,-02.25;estimatedPos=-05.20,-10.00
euclDist=5.309;onlinePos=01.71,01.81;estimatedPos=01.55,06.80
euclDist=2.257;onlinePos=02.02,07.45;estimatedPos=01.40,08.30
euclDist=3.286;onlinePos=02.49,07.60;estimatedPos=01.10,10.70
euclDist=2.004;onlinePos=01.52,09.32;estimatedPos=01.10,11.30
euclDist=0.717;onlinePos=00.78,10.94;estimatedPos=01.40,10.85
euclDist=1.249;onlinePos=01.39,06.61;estimatedPos=01.85,07.70
euclDist=3.510;onlinePos=04.51,07.63;estimatedPos=08.00,08.15
euclDist=3.666;onlinePos=06.00,07.88;estimatedPos=09.65,07.40
euclDist=3.271;onlinePos=09.08,07.24;estimatedPos=08.60,04.40
euclDist=3.128;onlinePos=10.62,03.87;estimatedPos=11.00,06.80
euclDist=3.197;onlinePos=10.99,07.19;estimatedPos=09.20,04.85
euclDist=5.158;onlinePos=11.76,07.76;estimatedPos=07.85,04.40
euclDist=2.089;onlinePos=11.39,05.00;estimatedPos=11.90,05.15
euclDist=4.367;onlinePos=12.95,05.25;estimatedPos=08.75,04.85
euclDist=3.104;onlinePos=13.46,07.85;estimatedPos=11.75,05.00
euclDist=4.895;onlinePos=14.98,07.55;estimatedPos=11.15,04.70
euclDist=4.476;onlinePos=21.45,06.62;estimatedPos=17.75,03.50
euclDist=4.166;onlinePos=21.84,05.16;estimatedPos=17.90,03.50
euclDist=3.163;onlinePos=22.38,03.94;estimatedPos=19.25,03.50
euclDist=7.723;onlinePos=22.30,06.36;estimatedPos=14.90,03.65
euclDist=7.672;onlinePos=28.12,07.57;estimatedPos=20.45,07.40
euclDist=4.728;onlinePos=31.78,07.62;estimatedPos=27.80,04.85
euclDist=5.456;onlinePos=32.16,07.08;estimatedPos=27.80,03.80
euclDist=2.501;onlinePos=32.68,03.48;estimatedPos=30.20,03.80
euclDist=6.540;onlinePos=23.50,04.22;estimatedPos=17.00,03.50
euclDist=6.690;onlinePos=25.23,07.78;estimatedPos=19.85,03.95
