euclDist=4.293;onlinePos=-23.90,-09.65;estimatedPos=-19.75,-10.75
euclDist=2.001;onlinePos=-23.00,-10.55;estimatedPos=-21.00,-10.50
euclDist=1.137;onlinePos=-19.65,-10.70;estimatedPos=-19.00,-10.75
euclDist=1.263;onlinePos=-17.35,-11.20;estimatedPos=-16.75,-10.75
euclDist=2.094;onlinePos=-15.50,-09.60;estimatedPos=-16.75,-10.75
euclDist=0.886;onlinePos=-12.90,-10.50;estimatedPos=-13.75,-10.75
euclDist=0.873;onlinePos=-10.55,-09.90;estimatedPos=-10.75,-10.75
euclDist=1.550;onlinePos=-09.20,-10.75;estimatedPos=-10.75,-10.75
euclDist=3.662;onlinePos=-06.35,-10.20;estimatedPos=-10.00,-10.63
euclDist=1.932;onlinePos=-04.10,-09.90;estimatedPos=-06.00,-10.25
euclDist=6.543;onlinePos=-02.05,-11.10;estimatedPos=-08.50,-10.00
euclDist=8.305;onlinePos=-00.95,-09.95;estimatedPos=-09.25,-10.25
euclDist=10.479;onlinePos=00.85,-18.55;estimatedPos=-06.00,-10.63
euclDist=8.321;onlinePos=01.15,-15.15;estimatedPos=-06.00,-10.50
euclDist=6.731;onlinePos=00.75,-13.05;estimatedPos=-05.25,-10.25
euclDist=1.825;onlinePos=01.55,-11.95;estimatedPos=-00.13,-12.50
euclDist=6.272;onlinePos=01.20,-09.05;estimatedPos=-04.88,-10.50
euclDist=6.794;onlinePos=01.65,-06.30;estimatedPos=-04.13,-10.00
euclDist=9.397;onlinePos=01.20,-03.70;estimatedPos=-05.88,-10.00
euclDist=10.511;onlinePos=01.85,-02.25;estimatedPos=-05.25,-10.00
euclDist=4.951;onlinePos=01.71,01.81;estimatedPos=01.63,06.50
euclDist=2.239;onlinePos=02.02,07.45;estimatedPos=01.25,08.38
euclDist=3.272;onlinePos=02.49,07.60;estimatedPos=01.25,10.63
euclDist=1.702;onlinePos=01.52,09.32;estimatedPos=01.25,11.00
euclDist=0.654;onlinePos=00.78,10.94;estimatedPos=01.25,10.75
euclDist=1.040;onlinePos=01.39,06.61;estimatedPos=01.88,07.50
euclDist=3.299;onlinePos=04.51,07.63;estimatedPos=07.75,08.13
euclDist=3.019;onlinePos=06.00,07.88;estimatedPos=09.00,07.38
euclDist=3.174;onlinePos=09.08,07.24;estimatedPos=08.63,04.25
euclDist=3.193;onlinePos=10.62,03.87;estimatedPos=11.00,07.00
euclDist=3.258;onlinePos=10.99,07.19;estimatedPos=09.13,05.00
euclDist=5.144;onlinePos=11.76,07.76;estimatedPos=08.00,04.38
euclDist=1.688;onlinePos=11.39,05.00;estimatedPos=11.25,04.88
euclDist=4.048;onlinePos=12.95,05.25;estimatedPos=09.00,04.75
euclDist=2.702;onlinePos=13.46,07.85;estimatedPos=11.75,05.50
euclDist=4.573;onlinePos=14.98,07.55;estimatedPos=11.25,05.00
euclDist=4.840;onlinePos=21.45,06.62;estimatedPos=17.75,03.63
euclDist=3.946;onlinePos=21.84,05.16;estimatedPos=18.00,03.75
euclDist=3.906;onlinePos=22.38,03.94;estimatedPos=18.50,03.50
euclDist=8.037;onlinePos=22.30,06.36;estimatedPos=14.50,03.75
euclDist=7.385;onlinePos=28.12,07.57;estimatedPos=20.75,07.00
euclDist=4.246;onlinePos=31.78,07.62;estimatedPos=28.50,04.88
euclDist=5.200;onlinePos=32.16,07.08;estimatedPos=28.00,03.75
euclDist=3.222;onlinePos=32.68,03.48;estimatedPos=29.50,04.25
euclDist=5.795;onlinePos=23.50,04.22;estimatedPos=17.75,03.50
euclDist=6.406;onlinePos=25.23,07.78;estimatedPos=20.25,03.88
