euclDist=4.293;onlinePos=-23.90,-09.65;estimatedPos=-19.75,-10.75
euclDist=1.041;onlinePos=-23.00,-10.55;estimatedPos=-22.00,-10.75
euclDist=1.401;onlinePos=-19.65,-10.70;estimatedPos=-19.00,-10.75
euclDist=1.423;onlinePos=-17.35,-11.20;estimatedPos=-17.13,-10.75
euclDist=2.537;onlinePos=-15.50,-09.60;estimatedPos=-17.13,-10.75
euclDist=0.886;onlinePos=-12.90,-10.50;estimatedPos=-13.75,-10.75
euclDist=2.247;onlinePos=-10.55,-09.90;estimatedPos=-12.63,-10.75
euclDist=0.800;onlinePos=-09.20,-10.75;estimatedPos=-10.00,-10.75
euclDist=1.504;onlinePos=-06.35,-10.20;estimatedPos=-07.75,-10.75
euclDist=3.748;onlinePos=-04.10,-09.90;estimatedPos=-07.75,-10.75
euclDist=5.711;onlinePos=-02.05,-11.10;estimatedPos=-07.75,-10.75
euclDist=7.593;onlinePos=-00.95,-09.95;estimatedPos=-08.50,-10.75
euclDist=10.606;onlinePos=00.85,-18.55;estimatedPos=-06.25,-10.75
euclDist=9.928;onlinePos=01.15,-15.15;estimatedPos=-07.75,-10.75
euclDist=5.962;onlinePos=00.75,-13.05;estimatedPos=-04.75,-10.75
euclDist=2.026;onlinePos=01.55,-11.95;estimatedPos=00.50,-13.00
euclDist=6.188;onlinePos=01.20,-09.05;estimatedPos=-04.75,-10.75
euclDist=6.900;onlinePos=01.65,-06.30;estimatedPos=-04.38,-09.63
euclDist=9.290;onlinePos=01.20,-03.70;estimatedPos=-06.25,-09.25
euclDist=10.180;onlinePos=01.85,-02.25;estimatedPos=-04.75,-10.00
euclDist=5.143;onlinePos=01.71,01.81;estimatedPos=01.25,06.88
euclDist=1.861;onlinePos=02.02,07.45;estimatedPos=01.63,08.75
euclDist=3.437;onlinePos=02.49,07.60;estimatedPos=01.25,11.00
euclDist=2.834;onlinePos=01.52,09.32;estimatedPos=01.25,12.13
euclDist=1.464;onlinePos=00.78,10.94;estimatedPos=02.00,11.00
euclDist=1.447;onlinePos=01.39,06.61;estimatedPos=02.00,07.25
euclDist=4.256;onlinePos=04.51,07.63;estimatedPos=08.75,08.00
euclDist=4.252;onlinePos=06.00,07.88;estimatedPos=10.25,08.00
euclDist=3.959;onlinePos=09.08,07.24;estimatedPos=08.00,03.50
euclDist=3.483;onlinePos=10.62,03.87;estimatedPos=10.63,06.50
euclDist=3.696;onlinePos=10.99,07.19;estimatedPos=09.13,04.25
euclDist=6.204;onlinePos=11.76,07.76;estimatedPos=07.25,03.50
euclDist=2.137;onlinePos=11.39,05.00;estimatedPos=11.75,04.63
euclDist=4.550;onlinePos=12.95,05.25;estimatedPos=08.75,04.63
euclDist=3.279;onlinePos=13.46,07.85;estimatedPos=11.75,05.38
euclDist=5.170;onlinePos=14.98,07.55;estimatedPos=11.00,04.25
euclDist=6.064;onlinePos=21.45,06.62;estimatedPos=16.25,03.50
euclDist=3.730;onlinePos=21.84,05.16;estimatedPos=18.50,03.50
euclDist=3.170;onlinePos=22.38,03.94;estimatedPos=19.25,03.50
euclDist=8.426;onlinePos=22.30,06.36;estimatedPos=14.38,03.50
euclDist=8.129;onlinePos=28.12,07.57;estimatedPos=20.00,07.25
euclDist=4.495;onlinePos=31.78,07.62;estimatedPos=29.00,04.25
euclDist=4.316;onlinePos=32.16,07.08;estimatedPos=29.75,03.50
euclDist=2.930;onlinePos=32.68,03.48;estimatedPos=29.75,03.50
euclDist=7.286;onlinePos=23.50,04.22;estimatedPos=16.25,03.50
euclDist=6.196;onlinePos=25.23,07.78;estimatedPos=20.75,03.50
