euclDist=3.169;onlinePos=-23.90,-09.65;estimatedPos=-20.75,-10.00
euclDist=1.761;onlinePos=-23.00,-10.55;estimatedPos=-21.38,-10.00
euclDist=1.167;onlinePos=-19.65,-10.70;estimatedPos=-20.38,-10.00
euclDist=2.222;onlinePos=-17.35,-11.20;estimatedPos=-16.25,-10.13
euclDist=3.503;onlinePos=-15.50,-09.60;estimatedPos=-14.50,-09.88
euclDist=2.010;onlinePos=-12.90,-10.50;estimatedPos=-11.00,-10.00
euclDist=1.304;onlinePos=-10.55,-09.90;estimatedPos=-09.25,-10.00
euclDist=1.023;onlinePos=-09.20,-10.75;estimatedPos=-09.00,-09.75
euclDist=2.452;onlinePos=-06.35,-10.20;estimatedPos=-04.00,-10.88
euclDist=2.266;onlinePos=-04.10,-09.90;estimatedPos=-02.00,-10.75
euclDist=2.452;onlinePos=-02.05,-11.10;estimatedPos=-01.88,-08.75
euclDist=3.065;onlinePos=-00.95,-09.95;estimatedPos=01.50,-08.50
euclDist=4.568;onlinePos=00.85,-18.55;estimatedPos=01.25,-14.13
euclDist=3.932;onlinePos=01.15,-15.15;estimatedPos=01.63,-11.25
euclDist=3.125;onlinePos=00.75,-13.05;estimatedPos=01.75,-10.00
euclDist=3.453;onlinePos=01.55,-11.95;estimatedPos=01.75,-08.50
euclDist=2.554;onlinePos=01.20,-09.05;estimatedPos=01.25,-06.50
euclDist=1.444;onlinePos=01.65,-06.30;estimatedPos=01.38,-06.50
euclDist=2.695;onlinePos=01.20,-03.70;estimatedPos=01.00,-05.44
euclDist=1.908;onlinePos=01.85,-02.25;estimatedPos=01.13,-03.88
euclDist=1.625;onlinePos=01.71,01.81;estimatedPos=01.25,00.81
euclDist=3.586;onlinePos=02.02,07.45;estimatedPos=03.00,04.00
euclDist=2.291;onlinePos=02.49,07.60;estimatedPos=02.75,05.75
euclDist=4.733;onlinePos=01.52,09.32;estimatedPos=02.25,04.75
euclDist=5.460;onlinePos=00.78,10.94;estimatedPos=02.13,05.63
euclDist=2.250;onlinePos=01.39,06.61;estimatedPos=02.75,04.63
euclDist=3.626;onlinePos=04.51,07.63;estimatedPos=03.13,04.50
euclDist=4.913;onlinePos=06.00,07.88;estimatedPos=03.75,03.81
euclDist=2.393;onlinePos=09.08,07.24;estimatedPos=07.00,06.00
euclDist=6.333;onlinePos=10.62,03.87;estimatedPos=04.50,05.50
euclDist=7.963;onlinePos=10.99,07.19;estimatedPos=03.75,04.50
euclDist=4.852;onlinePos=11.76,07.76;estimatedPos=07.00,06.13
euclDist=4.504;onlinePos=11.39,05.00;estimatedPos=07.00,05.50
euclDist=6.137;onlinePos=12.95,05.25;estimatedPos=06.88,06.13
euclDist=10.680;onlinePos=13.46,07.85;estimatedPos=03.50,04.00
euclDist=7.572;onlinePos=14.98,07.55;estimatedPos=07.63,05.63
euclDist=1.726;onlinePos=21.45,06.62;estimatedPos=22.88,05.63
euclDist=2.493;onlinePos=21.84,05.16;estimatedPos=24.25,05.75
euclDist=2.294;onlinePos=22.38,03.94;estimatedPos=23.63,05.63
euclDist=1.721;onlinePos=22.30,06.36;estimatedPos=23.50,05.75
euclDist=2.205;onlinePos=28.12,07.57;estimatedPos=26.50,06.13
euclDist=4.193;onlinePos=31.78,07.62;estimatedPos=27.88,06.13
euclDist=4.784;onlinePos=32.16,07.08;estimatedPos=27.50,06.00
euclDist=5.817;onlinePos=32.68,03.48;estimatedPos=27.50,06.25
euclDist=1.539;onlinePos=23.50,04.22;estimatedPos=24.00,05.63
euclDist=3.270;onlinePos=25.23,07.78;estimatedPos=23.13,05.75
