euclDist=1.932;onlinePos=-23.90,-09.65;estimatedPos=-22.00,-10.00
euclDist=1.834;onlinePos=-23.00,-10.55;estimatedPos=-21.25,-10.00
euclDist=0.955;onlinePos=-19.65,-10.70;estimatedPos=-19.00,-10.00
euclDist=2.419;onlinePos=-17.35,-11.20;estimatedPos=-15.25,-10.00
euclDist=0.640;onlinePos=-15.50,-09.60;estimatedPos=-15.25,-10.00
euclDist=1.114;onlinePos=-12.90,-10.50;estimatedPos=-12.25,-09.63
euclDist=0.786;onlinePos=-10.55,-09.90;estimatedPos=-10.00,-10.00
euclDist=1.501;onlinePos=-09.20,-10.75;estimatedPos=-09.25,-09.25
euclDist=2.358;onlinePos=-06.35,-10.20;estimatedPos=-04.00,-10.00
euclDist=1.503;onlinePos=-04.10,-09.90;estimatedPos=-02.88,-10.00
euclDist=4.342;onlinePos=-02.05,-11.10;estimatedPos=-00.25,-09.63
euclDist=4.518;onlinePos=-00.95,-09.95;estimatedPos=02.00,-06.63
euclDist=4.813;onlinePos=00.85,-18.55;estimatedPos=00.50,-13.75
euclDist=1.638;onlinePos=01.15,-15.15;estimatedPos=02.00,-13.75
euclDist=1.763;onlinePos=00.75,-13.05;estimatedPos=01.63,-11.88
euclDist=5.708;onlinePos=01.55,-11.95;estimatedPos=01.25,-06.25
euclDist=3.550;onlinePos=01.20,-09.05;estimatedPos=01.25,-05.50
euclDist=2.132;onlinePos=01.65,-06.30;estimatedPos=01.25,-04.38
euclDist=1.801;onlinePos=01.20,-03.70;estimatedPos=01.25,-05.50
euclDist=2.210;onlinePos=01.85,-02.25;estimatedPos=00.50,-04.00
euclDist=1.225;onlinePos=01.71,01.81;estimatedPos=00.50,02.00
euclDist=0.757;onlinePos=02.02,07.45;estimatedPos=02.75,07.25
euclDist=0.436;onlinePos=02.49,07.60;estimatedPos=02.75,07.25
euclDist=6.862;onlinePos=01.52,09.32;estimatedPos=02.00,02.75
euclDist=2.609;onlinePos=00.78,10.94;estimatedPos=01.25,08.38
euclDist=1.503;onlinePos=01.39,06.61;estimatedPos=02.75,06.50
euclDist=2.193;onlinePos=04.51,07.63;estimatedPos=03.88,05.75
euclDist=3.288;onlinePos=06.00,07.88;estimatedPos=05.75,04.63
euclDist=3.008;onlinePos=09.08,07.24;estimatedPos=08.38,05.38
euclDist=4.884;onlinePos=10.62,03.87;estimatedPos=05.75,03.50
euclDist=6.409;onlinePos=10.99,07.19;estimatedPos=05.75,03.50
euclDist=3.763;onlinePos=11.76,07.76;estimatedPos=08.38,06.88
euclDist=3.957;onlinePos=11.39,05.00;estimatedPos=07.63,05.75
euclDist=4.975;onlinePos=12.95,05.25;estimatedPos=08.00,05.75
euclDist=8.880;onlinePos=13.46,07.85;estimatedPos=05.38,05.75
euclDist=5.800;onlinePos=14.98,07.55;estimatedPos=10.25,05.00
euclDist=2.074;onlinePos=21.45,06.62;estimatedPos=22.25,05.75
euclDist=2.116;onlinePos=21.84,05.16;estimatedPos=23.75,04.25
euclDist=2.883;onlinePos=22.38,03.94;estimatedPos=22.25,05.75
euclDist=2.257;onlinePos=22.30,06.36;estimatedPos=22.63,04.25
euclDist=2.057;onlinePos=28.12,07.57;estimatedPos=26.75,06.50
euclDist=1.944;onlinePos=31.78,07.62;estimatedPos=31.25,05.75
euclDist=1.612;onlinePos=32.16,07.08;estimatedPos=31.25,05.75
euclDist=2.683;onlinePos=32.68,03.48;estimatedPos=31.25,05.75
euclDist=1.610;onlinePos=23.50,04.22;estimatedPos=23.00,05.75
euclDist=2.874;onlinePos=25.23,07.78;estimatedPos=24.50,05.75
