euclDist=1.170;onlinePos=-23.90,-09.65;estimatedPos=-23.50,-10.75
euclDist=2.818;onlinePos=-23.00,-10.55;estimatedPos=-20.50,-09.25
euclDist=3.850;onlinePos=-19.65,-10.70;estimatedPos=-19.75,-10.00
euclDist=1.423;onlinePos=-17.35,-11.20;estimatedPos=-16.00,-10.75
euclDist=1.254;onlinePos=-15.50,-09.60;estimatedPos=-14.50,-10.75
euclDist=2.911;onlinePos=-12.90,-10.50;estimatedPos=-10.00,-09.25
euclDist=1.803;onlinePos=-10.55,-09.90;estimatedPos=-10.00,-10.75
euclDist=1.655;onlinePos=-09.20,-10.75;estimatedPos=-08.50,-09.25
euclDist=1.275;onlinePos=-06.35,-10.20;estimatedPos=-05.50,-10.75
euclDist=1.727;onlinePos=-04.10,-09.90;estimatedPos=-02.50,-09.25
euclDist=1.276;onlinePos=-02.05,-11.10;estimatedPos=-02.50,-10.75
euclDist=5.979;onlinePos=-00.95,-09.95;estimatedPos=02.00,-04.75
euclDist=7.808;onlinePos=00.85,-18.55;estimatedPos=00.50,-10.75
euclDist=0.856;onlinePos=01.15,-15.15;estimatedPos=02.00,-15.25
euclDist=4.674;onlinePos=00.75,-13.05;estimatedPos=02.00,-12.25
euclDist=8.763;onlinePos=01.55,-11.95;estimatedPos=00.50,-03.25
euclDist=5.842;onlinePos=01.20,-09.05;estimatedPos=00.50,-03.25
euclDist=3.260;onlinePos=01.65,-06.30;estimatedPos=00.50,-03.25
euclDist=1.320;onlinePos=01.20,-03.70;estimatedPos=02.00,-04.75
euclDist=2.841;onlinePos=01.85,-02.25;estimatedPos=00.50,-04.75
euclDist=1.783;onlinePos=01.71,01.81;estimatedPos=00.50,00.50
euclDist=1.265;onlinePos=02.02,07.45;estimatedPos=02.00,06.50
euclDist=1.204;onlinePos=02.49,07.60;estimatedPos=02.75,07.25
euclDist=6.781;onlinePos=01.52,09.32;estimatedPos=02.00,03.50
euclDist=3.095;onlinePos=00.78,10.94;estimatedPos=01.25,08.00
euclDist=1.069;onlinePos=01.39,06.61;estimatedPos=02.00,06.50
euclDist=2.617;onlinePos=04.51,07.63;estimatedPos=05.00,05.75
euclDist=4.408;onlinePos=06.00,07.88;estimatedPos=06.50,03.50
euclDist=3.021;onlinePos=09.08,07.24;estimatedPos=09.50,05.00
euclDist=4.137;onlinePos=10.62,03.87;estimatedPos=06.50,03.50
euclDist=5.812;onlinePos=10.99,07.19;estimatedPos=06.50,03.50
euclDist=3.667;onlinePos=11.76,07.76;estimatedPos=09.50,08.00
euclDist=2.413;onlinePos=11.39,05.00;estimatedPos=09.50,03.50
euclDist=3.868;onlinePos=12.95,05.25;estimatedPos=09.50,03.50
euclDist=9.513;onlinePos=13.46,07.85;estimatedPos=05.00,03.50
euclDist=8.070;onlinePos=14.98,07.55;estimatedPos=08.00,03.50
euclDist=1.931;onlinePos=21.45,06.62;estimatedPos=23.00,05.00
euclDist=2.807;onlinePos=21.84,05.16;estimatedPos=23.75,03.50
euclDist=4.154;onlinePos=22.38,03.94;estimatedPos=21.50,06.50
euclDist=2.600;onlinePos=22.30,06.36;estimatedPos=21.50,04.25
euclDist=3.332;onlinePos=28.12,07.57;estimatedPos=26.00,05.00
euclDist=4.314;onlinePos=31.78,07.62;estimatedPos=30.50,03.50
euclDist=0.934;onlinePos=32.16,07.08;estimatedPos=32.00,08.00
euclDist=2.180;onlinePos=32.68,03.48;estimatedPos=30.50,03.50
euclDist=1.232;onlinePos=23.50,04.22;estimatedPos=24.50,03.50
euclDist=2.885;onlinePos=25.23,07.78;estimatedPos=23.00,05.75
