euclDist=5.116;onlinePos=-23.90,-09.65;estimatedPos=-18.81,-10.19
euclDist=3.501;onlinePos=-23.00,-10.55;estimatedPos=-19.56,-10.00
euclDist=1.241;onlinePos=-19.65,-10.70;estimatedPos=-18.63,-10.00
euclDist=1.718;onlinePos=-17.35,-11.20;estimatedPos=-16.94,-10.00
euclDist=3.017;onlinePos=-15.50,-09.60;estimatedPos=-14.78,-09.81
euclDist=3.058;onlinePos=-12.90,-10.50;estimatedPos=-10.28,-10.00
euclDist=1.734;onlinePos=-10.55,-09.90;estimatedPos=-08.88,-10.00
euclDist=1.027;onlinePos=-09.20,-10.75;estimatedPos=-08.41,-10.00
euclDist=2.108;onlinePos=-06.35,-10.20;estimatedPos=-04.38,-10.75
euclDist=2.330;onlinePos=-04.10,-09.90;estimatedPos=-01.84,-10.47
euclDist=2.135;onlinePos=-02.05,-11.10;estimatedPos=-02.13,-09.06
euclDist=3.574;onlinePos=-00.95,-09.95;estimatedPos=01.44,-08.50
euclDist=6.315;onlinePos=00.85,-18.55;estimatedPos=01.34,-12.25
euclDist=4.971;onlinePos=01.15,-15.15;estimatedPos=01.44,-10.19
euclDist=3.920;onlinePos=00.75,-13.05;estimatedPos=01.44,-09.16
euclDist=5.045;onlinePos=01.55,-11.95;estimatedPos=01.44,-06.91
euclDist=2.104;onlinePos=01.20,-09.05;estimatedPos=01.25,-06.95
euclDist=0.725;onlinePos=01.65,-06.30;estimatedPos=01.34,-06.39
euclDist=2.776;onlinePos=01.20,-03.70;estimatedPos=01.44,-04.94
euclDist=1.798;onlinePos=01.85,-02.25;estimatedPos=01.44,-02.83
euclDist=1.985;onlinePos=01.71,01.81;estimatedPos=01.44,-00.16
euclDist=3.153;onlinePos=02.02,07.45;estimatedPos=02.56,04.44
euclDist=2.732;onlinePos=02.49,07.60;estimatedPos=02.66,05.00
euclDist=5.176;onlinePos=01.52,09.32;estimatedPos=02.56,04.25
euclDist=6.625;onlinePos=00.78,10.94;estimatedPos=02.09,04.39
euclDist=2.635;onlinePos=01.39,06.61;estimatedPos=02.56,04.25
euclDist=3.908;onlinePos=04.51,07.63;estimatedPos=02.66,04.25
euclDist=5.110;onlinePos=06.00,07.88;estimatedPos=03.22,03.59
euclDist=1.969;onlinePos=09.08,07.24;estimatedPos=07.81,05.84
euclDist=6.454;onlinePos=10.62,03.87;estimatedPos=04.25,05.19
euclDist=7.144;onlinePos=10.99,07.19;estimatedPos=04.44,04.91
euclDist=4.531;onlinePos=11.76,07.76;estimatedPos=07.44,05.94
euclDist=4.653;onlinePos=11.39,05.00;estimatedPos=06.88,05.75
euclDist=6.138;onlinePos=12.95,05.25;estimatedPos=06.88,06.13
euclDist=9.517;onlinePos=13.46,07.85;estimatedPos=04.81,04.06
euclDist=8.063;onlinePos=14.98,07.55;estimatedPos=07.06,05.94
euclDist=2.112;onlinePos=21.45,06.62;estimatedPos=23.19,05.47
euclDist=2.340;onlinePos=21.84,05.16;estimatedPos=24.13,05.75
euclDist=2.316;onlinePos=22.38,03.94;estimatedPos=23.94,05.47
euclDist=1.140;onlinePos=22.30,06.36;estimatedPos=23.00,05.56
euclDist=2.395;onlinePos=28.12,07.57;estimatedPos=26.28,05.94
euclDist=5.211;onlinePos=31.78,07.62;estimatedPos=26.94,05.94
euclDist=5.753;onlinePos=32.16,07.08;estimatedPos=26.56,05.84
euclDist=6.525;onlinePos=32.68,03.48;estimatedPos=26.56,05.75
euclDist=1.501;onlinePos=23.50,04.22;estimatedPos=23.66,05.56
euclDist=3.420;onlinePos=25.23,07.78;estimatedPos=23.00,05.56
