euclDist=1.748;onlinePos=-23.90,-09.65;estimatedPos=-22.19,-10.00
euclDist=1.141;onlinePos=-23.00,-10.55;estimatedPos=-22.00,-10.00
euclDist=1.175;onlinePos=-19.65,-10.70;estimatedPos=-20.13,-10.00
euclDist=1.919;onlinePos=-17.35,-11.20;estimatedPos=-16.00,-10.38
euclDist=3.150;onlinePos=-15.50,-09.60;estimatedPos=-13.94,-10.00
euclDist=1.986;onlinePos=-12.90,-10.50;estimatedPos=-11.13,-09.63
euclDist=1.887;onlinePos=-10.55,-09.90;estimatedPos=-10.38,-10.00
euclDist=1.026;onlinePos=-09.20,-10.75;estimatedPos=-08.50,-10.00
euclDist=1.057;onlinePos=-06.35,-10.20;estimatedPos=-05.31,-10.00
euclDist=2.159;onlinePos=-04.10,-09.90;estimatedPos=-02.88,-10.00
euclDist=2.976;onlinePos=-02.05,-11.10;estimatedPos=-01.38,-08.13
euclDist=3.094;onlinePos=-00.95,-09.95;estimatedPos=01.63,-09.25
euclDist=3.312;onlinePos=00.85,-18.55;estimatedPos=00.88,-15.25
euclDist=2.364;onlinePos=01.15,-15.15;estimatedPos=01.63,-12.81
euclDist=2.618;onlinePos=00.75,-13.05;estimatedPos=01.63,-10.75
euclDist=4.201;onlinePos=01.55,-11.95;estimatedPos=01.63,-07.75
euclDist=3.005;onlinePos=01.20,-09.05;estimatedPos=01.25,-06.06
euclDist=1.114;onlinePos=01.65,-06.30;estimatedPos=01.63,-05.69
euclDist=1.801;onlinePos=01.20,-03.70;estimatedPos=01.44,-05.50
euclDist=2.937;onlinePos=01.85,-02.25;estimatedPos=01.06,-05.13
euclDist=0.914;onlinePos=01.71,01.81;estimatedPos=00.88,01.53
euclDist=2.549;onlinePos=02.02,07.45;estimatedPos=03.50,05.38
euclDist=1.818;onlinePos=02.49,07.60;estimatedPos=02.75,05.94
euclDist=5.949;onlinePos=01.52,09.32;estimatedPos=02.75,03.50
euclDist=4.246;onlinePos=00.78,10.94;estimatedPos=02.00,06.88
euclDist=2.445;onlinePos=01.39,06.61;estimatedPos=02.94,05.19
euclDist=2.471;onlinePos=04.51,07.63;estimatedPos=03.50,05.38
euclDist=3.211;onlinePos=06.00,07.88;estimatedPos=04.63,05.19
euclDist=2.811;onlinePos=09.08,07.24;estimatedPos=06.88,05.94
euclDist=5.299;onlinePos=10.62,03.87;estimatedPos=05.38,05.38
euclDist=6.862;onlinePos=10.99,07.19;estimatedPos=04.63,04.63
euclDist=4.576;onlinePos=11.76,07.76;estimatedPos=07.25,06.50
euclDist=5.278;onlinePos=11.39,05.00;estimatedPos=06.13,05.38
euclDist=5.728;onlinePos=12.95,05.25;estimatedPos=07.25,06.13
euclDist=9.914;onlinePos=13.46,07.85;estimatedPos=04.25,05.38
euclDist=6.583;onlinePos=14.98,07.55;estimatedPos=08.94,05.56
euclDist=1.615;onlinePos=21.45,06.62;estimatedPos=22.81,05.75
euclDist=2.480;onlinePos=21.84,05.16;estimatedPos=24.13,05.56
euclDist=2.687;onlinePos=22.38,03.94;estimatedPos=23.00,05.38
euclDist=1.633;onlinePos=22.30,06.36;estimatedPos=23.00,05.75
euclDist=2.047;onlinePos=28.12,07.57;estimatedPos=26.56,06.13
euclDist=2.997;onlinePos=31.78,07.62;estimatedPos=29.00,06.50
euclDist=3.257;onlinePos=32.16,07.08;estimatedPos=29.00,06.13
euclDist=4.532;onlinePos=32.68,03.48;estimatedPos=29.00,06.13
euclDist=1.424;onlinePos=23.50,04.22;estimatedPos=23.75,05.00
euclDist=3.190;onlinePos=25.23,07.78;estimatedPos=23.38,05.19
