euclDist=4.441;onlinePos=-23.90,-09.65;estimatedPos=-19.50,-10.25
euclDist=2.818;onlinePos=-23.00,-10.55;estimatedPos=-20.50,-09.25
euclDist=4.257;onlinePos=-19.65,-10.70;estimatedPos=-15.50,-09.75
euclDist=0.962;onlinePos=-17.35,-11.20;estimatedPos=-16.50,-10.75
euclDist=2.583;onlinePos=-15.50,-09.60;estimatedPos=-13.00,-10.25
euclDist=2.995;onlinePos=-12.90,-10.50;estimatedPos=-10.00,-09.75
euclDist=1.589;onlinePos=-10.55,-09.90;estimatedPos=-09.00,-10.25
euclDist=1.281;onlinePos=-09.20,-10.75;estimatedPos=-10.00,-09.75
euclDist=0.652;onlinePos=-06.35,-10.20;estimatedPos=-06.00,-10.75
euclDist=2.008;onlinePos=-04.10,-09.90;estimatedPos=-06.00,-09.25
euclDist=0.962;onlinePos=-02.05,-11.10;estimatedPos=-02.50,-10.25
euclDist=2.072;onlinePos=-00.95,-09.95;estimatedPos=-03.00,-10.25
euclDist=4.314;onlinePos=00.85,-18.55;estimatedPos=00.50,-14.25
euclDist=1.110;onlinePos=01.15,-15.15;estimatedPos=01.00,-16.25
euclDist=1.097;onlinePos=00.75,-13.05;estimatedPos=01.50,-12.25
euclDist=2.700;onlinePos=01.55,-11.95;estimatedPos=01.50,-09.25
euclDist=1.811;onlinePos=01.20,-09.05;estimatedPos=01.00,-07.25
euclDist=2.151;onlinePos=01.65,-06.30;estimatedPos=01.00,-04.25
euclDist=1.320;onlinePos=01.20,-03.70;estimatedPos=02.00,-04.75
euclDist=0.986;onlinePos=01.85,-02.25;estimatedPos=01.00,-02.75
euclDist=1.833;onlinePos=01.71,01.81;estimatedPos=01.00,03.50
euclDist=1.021;onlinePos=02.02,07.45;estimatedPos=01.00,07.50
euclDist=1.025;onlinePos=02.49,07.60;estimatedPos=02.00,08.50
euclDist=1.180;onlinePos=01.52,09.32;estimatedPos=01.50,10.50
euclDist=0.492;onlinePos=00.78,10.94;estimatedPos=01.00,10.50
euclDist=2.612;onlinePos=01.39,06.61;estimatedPos=01.50,04.00
euclDist=2.416;onlinePos=04.51,07.63;estimatedPos=06.50,09.00
euclDist=6.012;onlinePos=06.00,07.88;estimatedPos=12.00,07.50
euclDist=2.058;onlinePos=09.08,07.24;estimatedPos=11.00,06.50
euclDist=3.324;onlinePos=10.62,03.87;estimatedPos=09.50,07.00
euclDist=2.249;onlinePos=10.99,07.19;estimatedPos=11.50,05.00
euclDist=1.917;onlinePos=11.76,07.76;estimatedPos=10.00,07.00
euclDist=1.504;onlinePos=11.39,05.00;estimatedPos=11.50,06.50
euclDist=3.430;onlinePos=12.95,05.25;estimatedPos=10.00,07.00
euclDist=1.988;onlinePos=13.46,07.85;estimatedPos=12.00,06.50
euclDist=1.155;onlinePos=14.98,07.55;estimatedPos=14.50,06.50
euclDist=5.951;onlinePos=21.45,06.62;estimatedPos=15.50,06.50
euclDist=1.171;onlinePos=21.84,05.16;estimatedPos=22.00,04.00
euclDist=7.746;onlinePos=22.38,03.94;estimatedPos=15.50,07.50
euclDist=2.269;onlinePos=22.30,06.36;estimatedPos=21.00,04.50
euclDist=1.077;onlinePos=28.12,07.57;estimatedPos=28.00,06.50
euclDist=1.154;onlinePos=31.78,07.62;estimatedPos=31.50,06.50
euclDist=10.861;onlinePos=32.16,07.08;estimatedPos=21.50,05.00
euclDist=1.665;onlinePos=32.68,03.48;estimatedPos=32.00,05.00
euclDist=1.232;onlinePos=23.50,04.22;estimatedPos=24.50,03.50
euclDist=1.898;onlinePos=25.23,07.78;estimatedPos=23.50,07.00
