euclDist=3.574;onlinePos=-23.90,-09.65;estimatedPos=-20.50,-10.75
euclDist=1.640;onlinePos=-23.00,-10.55;estimatedPos=-22.00,-09.25
euclDist=4.633;onlinePos=-19.65,-10.70;estimatedPos=-15.25,-09.25
euclDist=0.474;onlinePos=-17.35,-11.20;estimatedPos=-17.50,-10.75
euclDist=1.077;onlinePos=-15.50,-09.60;estimatedPos=-14.50,-10.00
euclDist=3.684;onlinePos=-12.90,-10.50;estimatedPos=-09.25,-10.00
euclDist=0.559;onlinePos=-10.55,-09.90;estimatedPos=-10.00,-10.00
euclDist=1.097;onlinePos=-09.20,-10.75;estimatedPos=-10.00,-10.00
euclDist=0.851;onlinePos=-06.35,-10.20;estimatedPos=-07.00,-10.75
euclDist=1.544;onlinePos=-04.10,-09.90;estimatedPos=-05.50,-09.25
euclDist=1.188;onlinePos=-02.05,-11.10;estimatedPos=-02.50,-10.00
euclDist=3.800;onlinePos=-00.95,-09.95;estimatedPos=-04.75,-10.00
euclDist=4.813;onlinePos=00.85,-18.55;estimatedPos=00.50,-13.75
euclDist=2.438;onlinePos=01.15,-15.15;estimatedPos=00.50,-17.50
euclDist=1.433;onlinePos=00.75,-13.05;estimatedPos=02.00,-13.75
euclDist=2.717;onlinePos=01.55,-11.95;estimatedPos=01.25,-09.25
euclDist=4.357;onlinePos=01.20,-09.05;estimatedPos=00.50,-04.75
euclDist=1.601;onlinePos=01.65,-06.30;estimatedPos=01.25,-04.75
euclDist=1.320;onlinePos=01.20,-03.70;estimatedPos=02.00,-04.75
euclDist=1.680;onlinePos=01.85,-02.25;estimatedPos=00.50,-03.25
euclDist=1.047;onlinePos=01.71,01.81;estimatedPos=01.25,02.75
euclDist=0.946;onlinePos=02.02,07.45;estimatedPos=01.25,08.00
euclDist=2.695;onlinePos=02.49,07.60;estimatedPos=02.00,10.25
euclDist=0.968;onlinePos=01.52,09.32;estimatedPos=01.25,10.25
euclDist=0.474;onlinePos=00.78,10.94;estimatedPos=01.25,11.00
euclDist=2.364;onlinePos=01.39,06.61;estimatedPos=01.25,04.25
euclDist=2.731;onlinePos=04.51,07.63;estimatedPos=06.50,09.50
euclDist=5.751;onlinePos=06.00,07.88;estimatedPos=11.75,08.00
euclDist=1.894;onlinePos=09.08,07.24;estimatedPos=10.25,05.75
euclDist=2.862;onlinePos=10.62,03.87;estimatedPos=11.75,06.50
euclDist=2.087;onlinePos=10.99,07.19;estimatedPos=12.50,05.75
euclDist=1.471;onlinePos=11.76,07.76;estimatedPos=11.00,06.50
euclDist=2.279;onlinePos=11.39,05.00;estimatedPos=11.75,07.25
euclDist=2.316;onlinePos=12.95,05.25;estimatedPos=11.00,06.50
euclDist=0.560;onlinePos=13.46,07.85;estimatedPos=14.00,08.00
euclDist=1.815;onlinePos=14.98,07.55;estimatedPos=14.75,05.75
euclDist=9.701;onlinePos=21.45,06.62;estimatedPos=11.75,06.50
euclDist=1.694;onlinePos=21.84,05.16;estimatedPos=21.50,03.50
euclDist=10.682;onlinePos=22.38,03.94;estimatedPos=12.50,08.00
euclDist=1.578;onlinePos=22.30,06.36;estimatedPos=21.50,05.00
euclDist=0.755;onlinePos=28.12,07.57;estimatedPos=27.50,08.00
euclDist=0.646;onlinePos=31.78,07.62;estimatedPos=31.25,07.25
euclDist=16.308;onlinePos=32.16,07.08;estimatedPos=16.25,03.50
euclDist=1.027;onlinePos=32.68,03.48;estimatedPos=32.00,04.25
euclDist=0.762;onlinePos=23.50,04.22;estimatedPos=23.75,03.50
euclDist=0.762;onlinePos=25.23,07.78;estimatedPos=24.50,08.00
