-7.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 18.38, -76.94739906576066, 00:16:B6:B7:5D:8F, 8.68, -65.8204486147772, 00:14:BF:B1:7C:57, 16.07, -74.95544219146822, 00:14:BF:B1:97:8D, 15.61, -74.52470913958156, 00:16:B6:B7:5D:9B, 9.47, -67.11235178296178, 00:14:6C:62:CA:A4, 15.08, -74.01240581337774, 00:14:BF:3B:C7:C6, 21.87, -79.5258359407353, 00:14:BF:B1:97:8A, 29.3, -83.86352923509284, 00:14:BF:B1:97:81, 40.21, -88.55800859646442, 00:16:B6:B7:5D:8C, 46.6, -90.74537905496351, 00:11:88:28:5E:E0, 21.93, -79.56646927178741, 
-5.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 19.75, -78.01361646371866, 00:16:B6:B7:5D:8F, 9.41, -67.01808564004082, 00:14:BF:B1:7C:57, 14.62, -73.55295277503589, 00:14:BF:B1:97:8D, 14.11, -73.02634751971098, 00:16:B6:B7:5D:9B, 8.76, -65.95651522563995, 00:14:6C:62:CA:A4, 14.02, -72.93144466548635, 00:14:BF:3B:C7:C6, 20.49, -78.5591578794008, 00:14:BF:B1:97:8A, 27.86, -83.11610497780332, 00:14:BF:B1:97:81, 38.75, -88.00947878866555, 00:16:B6:B7:5D:8C, 45.33, -90.33557230585419, 00:11:88:28:5E:E0, 21.0, -78.92378891516334, 
-4.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 21.14, -79.02233516847357, 00:16:B6:B7:5D:8F, 10.32, -68.38716166249424, 00:14:BF:B1:7C:57, 13.18, -72.01511126031039, 00:14:BF:B1:97:8D, 12.62, -71.37117697011215, 00:16:B6:B7:5D:9B, 8.26, -65.08486861599106, 00:14:6C:62:CA:A4, 13.05, -71.86809897367735, 00:14:BF:3B:C7:C6, 19.12, -77.53281137315378, 00:14:BF:B1:97:8A, 26.43, -82.33461812094791, 00:14:BF:B1:97:81, 37.28, -87.43590211073837, 00:16:B6:B7:5D:8C, 44.08, -89.92085015656333, 00:11:88:28:5E:E0, 20.13, -78.29626491244755, 
-2.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 22.54, -79.9733760848995, 00:16:B6:B7:5D:8F, 11.35, -69.79810867122018, 00:14:BF:B1:7C:57, 11.75, -70.31179314465484, 00:14:BF:B1:97:8D, 11.13, -69.50780986203029, 00:16:B6:B7:5D:9B, 8.02, -64.64755467690418, 00:14:6C:62:CA:A4, 12.18, -70.84485489533765, 00:14:BF:3B:C7:C6, 17.77, -76.44682565955105, 00:14:BF:B1:97:8A, 25.0, -81.50965129615008, 00:14:BF:B1:97:81, 35.82, -86.84338860866939, 00:16:B6:B7:5D:8C, 42.85, -89.50112071675227, 00:11:88:28:5E:E0, 19.34, -77.70248844185946, 
-1.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 23.95, -80.87328343118237, 00:16:B6:B7:5D:8F, 12.48, -71.20572808957974, 00:14:BF:B1:7C:57, 10.35, -68.43021294542879, 00:14:BF:B1:97:8D, 9.65, -67.39160775069053, 00:16:B6:B7:5D:9B, 8.05, -64.70292931456271, 00:14:6C:62:CA:A4, 11.45, -69.92820736998222, 00:14:BF:3B:C7:C6, 16.44, -75.29304692091767, 00:14:BF:B1:97:8A, 23.59, -80.64865918124309, 00:14:BF:B1:97:81, 34.36, -86.22621524868684, 00:16:B6:B7:5D:8C, 41.63, -89.07272893178344, 00:11:88:28:5E:E0, 18.64, -77.15572775881343, 
-23.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 9.35, -66.92321651129649, 00:16:B6:B7:5D:8F, 15.85, -74.75099945281124, 00:14:BF:B1:7C:57, 32.54, -85.41905928471868, 00:14:BF:B1:97:8D, 32.04, -85.18939912812664, 00:16:B6:B7:5D:9B, 22.53, -79.96679469736883, 00:14:6C:62:CA:A4, 28.9, -83.65966133013612, 00:14:BF:3B:C7:C6, 37.41, -87.4875302349687, 00:14:BF:B1:97:8A, 45.15, -90.27656232128126, 00:14:BF:B1:97:81, 56.28, -93.54459213124647, 00:16:B6:B7:5D:8C, 60.65, -94.65367199766851, 00:11:88:28:5E:E0, 34.23, -86.1699956055585, 
-22.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 9.49, -67.14364115439204, 00:16:B6:B7:5D:8F, 14.66, -73.59347508591948, 00:14:BF:B1:7C:57, 31.06, -84.72867956505523, 00:14:BF:B1:97:8D, 30.54, -84.47827746740174, 00:16:B6:B7:5D:9B, 21.1, -78.9942458484162, 00:14:6C:62:CA:A4, 27.48, -82.91242127443357, 00:14:BF:3B:C7:C6, 35.94, -86.89299118519641, 00:14:BF:B1:97:8A, 43.67, -89.78225600411376, 00:14:BF:B1:97:81, 54.79, -93.14664940984534, 00:16:B6:B7:5D:8C, 59.26, -94.3098102499687, 00:11:88:28:5E:E0, 32.9, -85.58223991499162, 
-20.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 9.85, -67.69584727149345, 00:16:B6:B7:5D:8F, 13.54, -72.41477738752263, 00:14:BF:B1:7C:57, 29.59, -84.00960056023561, 00:14:BF:B1:97:8D, 29.04, -83.73133430075812, 00:16:B6:B7:5D:9B, 19.68, -77.96095696335527, 00:14:6C:62:CA:A4, 26.06, -82.12552614850972, 00:14:BF:3B:C7:C6, 34.46, -86.26931657677514, 00:14:BF:B1:97:8A, 42.18, -89.26738955002841, 00:14:BF:B1:97:81, 53.3, -92.73773418825743, 00:16:B6:B7:5D:8C, 57.89, -93.96291121770633, 00:11:88:28:5E:E0, 31.57, -84.97022697161921, 
-19.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 10.43, -68.54440913276603, 00:16:B6:B7:5D:8F, 12.5, -71.22947694422513, 00:14:BF:B1:7C:57, 28.11, -83.2485978774941, 00:14:BF:B1:97:8D, 27.54, -82.9447684116989, 00:16:B6:B7:5D:9B, 18.27, -76.85837139208917, 00:14:6C:62:CA:A4, 24.65, -81.30054794139244, 00:14:BF:3B:C7:C6, 32.99, -85.6227560758735, 00:14:BF:B1:97:8A, 40.7, -88.73764907504128, 00:14:BF:B1:97:81, 51.81, -92.3172241766052, 00:16:B6:B7:5D:8C, 56.51, -93.60507924422322, 00:11:88:28:5E:E0, 30.27, -84.34657417566697, 
-17.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 11.17, -69.56101586189806, 00:16:B6:B7:5D:8F, 11.56, -70.07001003398602, 00:14:BF:B1:7C:57, 26.64, -82.45199363001569, 00:14:BF:B1:97:8D, 26.04, -82.11413946345367, 00:16:B6:B7:5D:9B, 16.87, -75.67598007041863, 00:14:6C:62:CA:A4, 23.26, -80.43972160990148, 00:14:BF:3B:C7:C6, 31.52, -84.94671903111822, 00:14:BF:B1:97:8A, 39.22, -88.18828417567978, 00:14:BF:B1:97:81, 50.33, -91.8873896730623, 00:16:B6:B7:5D:8C, 55.15, -93.24377939790756, 00:11:88:28:5E:E0, 28.99, -83.70577655437316, 
-16.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 12.06, -70.69801056151113, 00:16:B6:B7:5D:8F, 10.74, -68.97879620856477, 00:14:BF:B1:7C:57, 25.18, -81.61605303510848, 00:14:BF:B1:97:8D, 24.54, -81.23421616905216, 00:16:B6:B7:5D:9B, 15.5, -74.41982749251545, 00:14:6C:62:CA:A4, 21.88, -79.53261589813658, 00:14:BF:3B:C7:C6, 30.06, -84.24332353896787, 00:14:BF:B1:97:8A, 37.74, -87.61778474255736, 00:14:BF:B1:97:81, 48.84, -91.44168862756766, 00:16:B6:B7:5D:8C, 53.79, -92.87345773722501, 00:11:88:28:5E:E0, 27.72, -83.04138866584312, 
-14.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 13.06, -71.87945949246873, 00:16:B6:B7:5D:8F, 10.09, -68.0528833269905, 00:14:BF:B1:7C:57, 23.71, -80.72391256835513, 00:14:BF:B1:97:8D, 23.04, -80.2987765127526, 00:16:B6:B7:5D:9B, 14.15, -73.06833242122954, 00:14:6C:62:CA:A4, 20.51, -78.5736273015797, 00:14:BF:3B:C7:C6, 28.6, -83.50490003135683, 00:14:BF:B1:97:8A, 36.27, -87.02854902307183, 00:14:BF:B1:97:81, 47.35, -90.98217743103683, 00:16:B6:B7:5D:8C, 52.44, -92.49648062506628, 00:11:88:28:5E:E0, 26.48, -82.36264904321567, 
-13.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 14.15, -73.06833242122954, 00:16:B6:B7:5D:8F, 9.62, -67.34542871009131, 00:14:BF:B1:7C:57, 22.25, -79.78132002307385, 00:14:BF:B1:97:8D, 21.54, -79.30034061955104, 00:16:B6:B7:5D:9B, 12.84, -71.62749556047629, 00:14:6C:62:CA:A4, 19.17, -77.57154515478584, 00:14:BF:3B:C7:C6, 27.14, -82.72777614950499, 00:14:BF:B1:97:8A, 34.79, -86.41066874173016, 00:14:BF:B1:97:81, 45.87, -90.51120647550721, 00:16:B6:B7:5D:8C, 51.1, -92.11257373960044, 00:11:88:28:5E:E0, 25.27, -81.66896901156508, 
-11.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 15.31, -74.23690276234561, 00:16:B6:B7:5D:8F, 9.38, -66.97072693064506, 00:14:BF:B1:7C:57, 20.8, -78.78186288897831, 00:14:BF:B1:97:8D, 20.04, -78.22980704221635, 00:16:B6:B7:5D:9B, 11.57, -70.08283420820226, 00:14:6C:62:CA:A4, 17.85, -76.51344522830644, 00:14:BF:3B:C7:C6, 25.68, -81.90766991240125, 00:14:BF:B1:97:8A, 33.32, -85.77037550189172, 00:14:BF:B1:97:81, 44.39, -90.02478770261627, 00:16:B6:B7:5D:8C, 49.76, -91.71846469296634, 00:11:88:28:5E:E0, 24.09, -80.95972671994343, 
-10.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 16.52, -75.36504296791601, 00:16:B6:B7:5D:8F, 9.37, -66.95490702881763, 00:14:BF:B1:7C:57, 19.36, -77.7178178040066, 00:14:BF:B1:97:8D, 18.54, -77.07594727295952, 00:16:B6:B7:5D:9B, 10.36, -68.44453564722467, 00:14:6C:62:CA:A4, 16.56, -75.40091035312861, 00:14:BF:3B:C7:C6, 24.24, -81.05178881912859, 00:14:BF:B1:97:8A, 31.85, -85.10118726232727, 00:14:BF:B1:97:81, 42.9, -89.51841652810833, 00:16:B6:B7:5D:8C, 48.44, -91.31972119218514, 00:11:88:28:5E:E0, 22.95, -80.24072885917252, 
-8.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 17.78, -76.45516948905777, 00:16:B6:B7:5D:8F, 9.6, -67.31456260830126, 00:14:BF:B1:7C:57, 17.92, -76.57149288188654, 00:14:BF:B1:97:8D, 17.04, -75.82468651320778, 00:16:B6:B7:5D:9B, 9.24, -66.74769781716665, 00:14:6C:62:CA:A4, 15.31, -74.23690276234561, 00:14:BF:3B:C7:C6, 22.8, -80.1434750250655, 00:14:BF:B1:97:8A, 30.39, -84.40525340773004, 00:14:BF:B1:97:81, 41.42, -88.99772472913637, 00:16:B6:B7:5D:8C, 47.13, -90.91310756779157, 00:11:88:28:5E:E0, 21.86, -79.51905288250731, 
-7.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 19.07, -77.49397616752108, 00:16:B6:B7:5D:8F, 10.05, -67.99397100898474, 00:14:BF:B1:7C:57, 16.49, -75.33808539026032, 00:14:BF:B1:97:8D, 15.54, -74.45805214397618, 00:16:B6:B7:5D:9B, 8.24, -65.04891427945651, 00:14:6C:62:CA:A4, 14.1, -73.01583269718122, 00:14:BF:3B:C7:C6, 21.37, -79.18282443190297, 00:14:BF:B1:97:8A, 28.92, -83.66992155645815, 00:14:BF:B1:97:81, 39.94, -88.45808526725945, 00:16:B6:B7:5D:8C, 45.83, -90.49826762490946, 00:11:88:28:5E:E0, 20.81, -78.78899153922706, 
-5.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 20.39, -78.48659826032349, 00:16:B6:B7:5D:8F, 10.7, -68.92345600794991, 00:14:BF:B1:7C:57, 15.08, -74.01240581337774, 00:14:BF:B1:97:8D, 14.04, -72.95258673115781, 00:16:B6:B7:5D:9B, 7.42, -63.49429336527878, 00:14:6C:62:CA:A4, 12.96, -71.76546080240573, 00:14:BF:3B:C7:C6, 19.94, -78.155614008268, 00:14:BF:B1:97:8A, 27.46, -82.90162319856015, 00:14:BF:B1:97:81, 38.46, -87.89806690866905, 00:16:B6:B7:5D:8C, 44.54, -90.07481976363736, 00:11:88:28:5E:E0, 19.82, -78.06608965259711, 
-4.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 21.74, -79.43741328247192, 00:16:B6:B7:5D:8F, 11.5, -69.99283124807584, 00:14:BF:B1:7C:57, 13.69, -72.57817775377576, 00:14:BF:B1:97:8D, 12.54, -71.27686087129393, 00:16:B6:B7:5D:9B, 6.82, -62.243736394518756, 00:14:6C:62:CA:A4, 11.9, -70.49992873155493, 00:14:BF:3B:C7:C6, 18.53, -77.06794556974036, 00:14:BF:B1:97:8A, 26.01, -82.09704302748906, 00:14:BF:B1:97:81, 36.98, -87.31606986801071, 00:16:B6:B7:5D:8C, 43.26, -89.64235449076993, 00:11:88:28:5E:E0, 18.9, -77.36117061251628, 
-2.5, -9.25, 0.0, 00:14:BF:B1:7C:54, 23.1, -80.33734911331673, 00:16:B6:B7:5D:8F, 12.43, -71.14618904311217, 00:14:BF:B1:7C:57, 12.33, -71.02638906574424, 00:14:BF:B1:97:8D, 11.04, -69.3873938563771, 00:16:B6:B7:5D:9B, 6.53, -61.59928514054378, 00:14:6C:62:CA:A4, 10.95, -69.26599216986509, 00:14:BF:3B:C7:C6, 17.14, -75.91146942060217, 00:14:BF:B1:97:8A, 24.56, -81.24629857832079, 00:14:BF:B1:97:81, 35.51, -86.71447545910016, 00:16:B6:B7:5D:8C, 42.0, -89.20396326708831, 00:11:88:28:5E:E0, 18.06, -76.68691102513118, 
-1.0, -9.25, 0.0, 00:14:BF:B1:7C:54, 24.48, -81.19790977012084, 00:16:B6:B7:5D:8F, 13.47, -72.33790339393997, 00:14:BF:B1:7C:57, 11.0, -69.33356019815339, 00:14:BF:B1:97:8D, 9.54, -67.22157699614485, 00:16:B6:B7:5D:9B, 6.57, -61.68985737046651, 00:14:6C:62:CA:A4, 10.12, -68.0969145020041, 00:14:BF:3B:C7:C6, 15.76, -74.66654467919327, 00:14:BF:B1:97:8A, 23.12, -80.35018438591098, 00:14:BF:B1:97:81, 34.04, -86.0874431807386, 00:16:B6:B7:5D:8C, 40.76, -88.75949708766937, 00:11:88:28:5E:E0, 17.3, -76.04927442184837, 
2.0, -18.25, 0.0, 00:14:BF:B1:7C:54, 25.63, -81.87876490119194, 00:16:B6:B7:5D:8F, 12.71, -71.47657055141937, 00:14:BF:B1:7C:57, 7.53, -63.71254843725393, 00:14:BF:B1:97:8D, 11.09, -69.45441230099382, 00:16:B6:B7:5D:9B, 15.99, -74.88142503693392, 00:14:6C:62:CA:A4, 17.9, -76.55493100796335, 00:14:BF:3B:C7:C6, 19.25, -77.63330956079034, 00:14:BF:B1:97:8A, 24.69, -81.32459522117549, 00:14:BF:B1:97:81, 34.15, -86.13529267879937, 00:16:B6:B7:5D:8C, 44.34, -90.00807277178473, 00:11:88:28:5E:E0, 24.81, -81.39650399989594, 
2.0, -16.75, 0.0, 00:14:BF:B1:7C:54, 25.69, -81.91344416069572, 00:16:B6:B7:5D:8F, 12.84, -71.62749556047629, 00:14:BF:B1:7C:57, 6.93, -62.481039961993204, 00:14:BF:B1:97:8D, 9.91, -67.78591530067214, 00:16:B6:B7:5D:9B, 14.54, -73.4715744827611, 00:14:6C:62:CA:A4, 16.41, -75.26595804296313, 00:14:BF:3B:C7:C6, 18.06, -76.68691102513118, 00:14:BF:B1:97:8A, 23.77, -80.76139655601736, 00:14:BF:B1:97:81, 33.49, -85.84585228848645, 00:16:B6:B7:5D:8C, 43.26, -89.64235449076993, 00:11:88:28:5E:E0, 23.34, -80.49064408587435, 
2.0, -15.25, 0.0, 00:14:BF:B1:7C:54, 25.84, -81.99978919338204, 00:16:B6:B7:5D:8F, 13.14, -71.97003172239147, 00:14:BF:B1:7C:57, 6.63, -61.824686995023, 00:14:BF:B1:97:8D, 8.84, -66.09134485019645, 00:16:B6:B7:5D:9B, 13.1, -71.92481474664436, 00:14:6C:62:CA:A4, 14.92, -73.85420531011661, 00:14:BF:3B:C7:C6, 16.92, -75.7198722497076, 00:14:BF:B1:97:8A, 22.92, -80.22132904403628, 00:14:BF:B1:97:81, 32.89, -85.57773127943267, 00:16:B6:B7:5D:8C, 42.21, -89.27793427607304, 00:11:88:28:5E:E0, 21.88, -79.53261589813658, 
